STT,Id,Mã KH,Tên,Điện thoại,Mã Số Thuế,Nhân viên bán hàng,Khu vực,Địa chỉ,Vĩ Độ,Kinh Độ,Xã/Tỉnh mới,,,
17,195878,2AGBATAM,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP BA TÂM,988504940,8056346879-001,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"Tổ 06, khóm Long Thạnh, Phường Long Châu, Thị xã Tân Châu, Tỉnh An Giang.","10,80401264","105,2121837","Phường Long Phú,Tỉnh An Giang",,,
18,195481,2AGBATHUAN,HỘ KINH DOANH BA THUẬN,84986095644,89096006201,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"ĐƯỜNG TỈNH 941, TỔ 01, ẤP TÔ THỦY, XÃ TRI TÔN, AN GIANG","10,42862519","105,0346095","Xã Tri Tôn,Tỉnh An Giang",,,
19,146612,2AGBAYNET,BẢY NẾT,84398967550,89086020971,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP HIỆP THẠNH, XÃ BÌNH THẠNH ĐÔNG, TỈNH AN GIANG","10,62296822","105,2713626","Xã Bình Thạnh Đông,Tỉnh An Giang",,,
20,147603,2AGBAYPHUONG,HỘ KINH DOANH BẢY PHƯƠNG,84945338559,1601899707,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"Ấp Phú Hạ 2, Xã Kiến Thành, Huyện Chợ Mới, An Giang","10,50374803","105,3997497","Xã Chợ Mới,Tỉnh An Giang",,,
21,157001,2AGBAYTAN,BẢY TẦN (QUỐC VIỆT),84363828068,8276971490,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"28, Tổ 10, ấp Phú Đông, xã Phú Xuân, huyện Phú Tân, tỉnh An Giang","10,63043046","105,2863681","Xã Phú An,Tỉnh An Giang",,,
22,196282,2AGBAYTUAN,HỘ KINH DOANH CỬA HÀNG PHÂN BÓN THUỐC TRỪ SÂU BẢY TUÂN,84918552294,89090022507,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"ẤP SƠN HIỆP, XÃ TÂY PHÚ, TỈNH AN GIANG","10,29317092","105,1681816","Xã Tây Phú,Tỉnh An Giang",,,
23,198540,2AGBICHVAN1,HỘ KINH DOANH BÍCH VÂN 1,985411007,89064021711,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"Số nhà 84, Tổ 03, Ấp Thạnh Hòa, Xã Thạch Mỹ Tây, Huyện Châu Phú, Tỉnh An Giang.","10,56699225","105,1662363","Xã Thạnh Mỹ Tây,Tỉnh An Giang",,,
24,199092,2AGBINHTIN,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP BÌNH TÍN,913537596,89201012976,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"Ấp Sơn Thành, Xã Óc Eo, Tỉnh An Giang, Việt Nam",,,"Xã Óc Eo,Tỉnh An Giang",,,
25,146614,2AGBUICHICONG,BÙI CHÍ CÔNG,84984730101,1601508791,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP HÒA BÌNH 3, XÃ HÒA LẠC, HUYỆN PHÚ TÂN, AN GIANG","10,6739268","105,2328633","Xã Hòa Lạc,Tỉnh An Giang",,,
26,146615,2AGBUIPHUCHIEP,BÙI PHÚC HIỆP,84985060200,89073010611,Phạm Thái Bảo,T20 - SÔNG HẬU 2,ẤP VĨNH THUẬN - XÃ VĨNH HANH - TỈNH AN GIANG,"10,37142751","105,2184544","Xã Vĩnh Hanh,Tỉnh An Giang",,,
27,198577,2AGBUIQUANGCHANH,HỘ KINH DOANH BÙI QUANG CHÁNH,364672211,89081016094,Phạm Thanh Trương,KHU VỰC SÔNG HẬU 1,"Ấp An Nhơn, Xã Lương Phi, Huyện Tri Tôn, An Giang.",,,"Xã Ô Lâm,Tỉnh An Giang",,,
28,146523,2AGBUITHINGOCTHAO,BÙI THỊ NGỌC THẢO,84819196551,89173021484,Lê Phước Sang,T20 - SÔNG HẬU 2,"TỔ 4, ẤP BÌNH CHÁNH 1, XÃ BÌNH MỸ, TỈNH AN GIANG","10,5419841","105,2527918","Xã Bình Mỹ,Tỉnh An Giang",,,
29,156419,2AGBUIVANLUC,BÙI VĂN LỰC,84979375537,1601456889,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP LONG HẬU, XÃ PHÚ LONG, HUYỆN PHÚ TÂN, TỈNH AN GIANG","10,7440752","105,2209328","Xã Phú Lâm,Tỉnh An Giang",,,
30,199128,2AGBVTVDAIVIET,CÔNG TY TNHH BẢO VỆ THỰC VẬT ĐẠI VIỆT,855411455,1602217386,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Số 114 Tổ 4, Ấp Vĩnh Thuận, Xã Ba Chúc, Tỉnh An Giang, Việt Nam",,,"Xã Ba Chúc,Tỉnh An Giang",,,
31,162529,2AGBVTVGIANG,CỬA HÀNG THUỐC BVTV GIANG,,1601452644,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ĐÔNG BÌNH 1, VĨNH THÀNH, CHÂU THÀNH, AN GIANG","10,35359486","105,3143922","Xã An Châu,Tỉnh An Giang",,,
32,154369,2AGBVTVLOC,HỘ KINH DOANH ĐẠI LÝ BÁN THUỐC BẢO VỆ THỰC VẬT LỘC,985955546,92093012170,NGUYỄN QUỐC ĐẠI,T23 - SÔNG HẬU 5,"ẤP HOÀ TÂY B, XÃ PHÚ HÒA, TP CẦN THƠ","10,26673093","105,4313159","XÃ PHÚ HÒA,Thành Phố Cần Thơ",,,
33,197953,2AGBVTVNHONHOANG,CÔNG TY TNHH BẢO VỆ THỰC VẬT NHƠN HOÀNG,939788077,1602215639,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"Số 670, Tổ 26, Ấp Vĩnh Quới, Xã Vĩnh Thạnh Trung, Tỉnh An Giang, Việt Nam.","10,57995965","105,2229418","Xã Vĩnh Thạnh Trung,Tỉnh An Giang",,,
34,196510,2AGBVTVTHANHTAM,CÔNG TY TNHH MỘT THÀNH VIÊN PHÂN BÓN THUỐC BẢO VỆ THỰC VẬT THÀNH TÂM,969999495,1602199673,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"Tổ 13, Ấp Tân Bình, Xã Tà Đảnh, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam","10,43541786","105,1117614","Xã Cô Tô,Tỉnh An Giang",,,
35,146616,2AGCAMCUON,CẨM CUỐN,84988737378,89092003565,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"ẤP PHƯỚC HÒA, XÃ NHƠN HỘI, TỈNH AN GIANG","10,883733","105,0844469","Xã Nhơn Hội,Tỉnh An Giang",,,
36,153716,2AGCAOY,CAO Y,84965787345,1601604054,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"Pô Thi, An Cư, Tịnh Biên, An Giang","10,54260507","104,9636175","Xã An Cư,Tỉnh An Giang",,,
37,162533,2AGCATLUONG,CÁT LƯỢNG,84939645713,1600456847,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"ẤP SƠN HÒA, XÃ VỌNG ĐÔNG, HUYỆN THOẠI SƠN, TỈNH AN GIANG","10,2693107","105,1681019","Xã Óc Eo,Tỉnh An Giang",,,
38,197094,2AGCAYLUAVANG,CÔNG TY TRÁCH NHIỆM HỮU HẠN PHÁT TRIỂN NÔNG NGHIỆP CÂY LÚA VÀNG,916845269,1702330226,Dương Văn Pháp,T22 - SÔNG HẬU 4,"Tổ 17, ấp Ranh Hạt, Xã Bình Giang, Tỉnh An Giang, Việt Nam","10,28384739","104,7466304","Xã Bình Giang,Tỉnh An Giang",,,
40,197451,2AGCHAUNENMY,CHAU NÊN MY,093 9126018,89086021142,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"Số 344, Tổ 14, Ấp Srây Skốth, Xã Văn Giáo, Thị Xã Tịnh Biên, Tỉnh An Giang.","10,58652592","105,0204895","Xã An Cư,Tỉnh An Giang",,,
41,198549,2AGCHAUPHIRICH,HỘ KINH DOANH CHAU PHI RÍCH,926922691,89200001326,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"Tổ 04, Ấp An Thạnh, Xã An Hảo, Huyện Tịnh Biên, Tỉnh An Giang.","10,4786092","105,0218122","Xã Núi Cấm,Tỉnh An Giang",,,
42,161772,2AGCHAUPROC,HỘ KINH DOANH CHAU PRỐC,84968212775,1601404337,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"TỔ 7, ẤP PHƯỚC AN, XÃ Ô LÂM, HUYỆN TRI TÔN, TỈNH AN GIANG","10,35754515","104,9682889","Xã Ô Lâm,Tỉnh An Giang",,,
43,198417,2AGCHAURANY,CÔNG TY TNHH VẬT TƯ NÔNG NGHIỆP CHAU RA NY,865306531,1602217322,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"Tổ 6, Ấp Vĩnh Tâm, Xã An Cư, Tỉnh An Giang, Việt Nam","10,54101881","105,021199","Xã An Cư,Tỉnh An Giang",,,
44,198536,2AGCHAUSIEP,HỘ KINH DOANH CHAU SIẾP,336263436,89084017636,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"Ấp Tô Trung, Xã Núi Tô, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam","10,39811524","105,0075751","Xã Tri Tôn,Tỉnh An Giang",,,
45,199013,2AGCHIHIEU,HỘ KINH DOANH CHÍ HIẾU,389530826,89201010973,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Tổ 9, Ấp Phước An, Xã Ô Lâm, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam",,,"Xã Ô Lâm,Tỉnh An Giang",,,
46,196843,2AGCHIKHANG,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP CHÍ KHANG,84338574137,89099020220,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"Tổ 16, Ấp Tây Huề, Xã Bình Thành, Huyện Thoại Sơn, tỉnh An Giang, Việt Nam.","10,21830908","105,2317122","Xã Thoại Sơn,Tỉnh An Giang",,,
47,195847,2AGCHILINH,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP CHÍ LINH,961074041,89096018082,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP HIỆP THẠNH, XÃ BÌNH THẠNH ĐÔNG, TỈNH AN GIANG","10,6146511","105,2698955","Xã Bình Thạnh Đông,Tỉnh An Giang",,,
48,197988,2AGCHILINHAG,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP CHÍ LINH AG,972681088,89095001099,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"Ấp Vĩnh Thành, Xã Vĩnh An, Tỉnh An Giang, Việt Nam","10,43429345","105,1139051","Xã Vĩnh An,Tỉnh An Giang",,,
49,146617,2AGCHINHAI,CHÍN HẢI,84919963093,1600939996,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"ẤP VĨNH PHƯỚC, XÃ VĨNH LỘC, HUYỆN AN PHÚ, AN GIANG","10,8414852","105,0818256","Xã Phú Hữu,Tỉnh An Giang",,,
50,198539,2AGCHINLIEN,"HỘ KINH DOANH THUỐC BẢO VỆ THỰC VẬT, PHÂN BÓN VÀ GIỐNG CÂY TRỒNG CHÍN LIỀN",907944996,89093004219,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"Tổ 14, Ấp Trung Phú III, Xã Vĩnh Phú, Huyện Thoại Sơn, Tỉnh An Giang.","10,3540921","105,2275908","Xã Định Mỹ,Tỉnh An Giang",,,
51,153717,2AGCHINLOC,CHÍN LỘC,84939877774,89179024933,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"KHÓM VĨNH KHÁNH 2, PHƯỜNG VĨNH TẾ, TỈNH AN GIANG","10,66153348","105,0538757","Phường Vĩnh Tế,Tỉnh An Giang",,,
52,161804,2AGCHTBVTVVANCUONG,HỘ KINH DOANH CỬA HÀNG THUỐC BVTV VĂN CƯỜNG,,1601994742,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"ẤP HÒA TÂN, ĐỊNH THÀNH, THOẠI SƠN, AN GIANG","10,30769613","105,305464","Xã Định Mỹ,Tỉnh An Giang",,,
53,161836,2AGCOBA,HỘ KINH DOANH CÔ BA (VĨNH NHUẬN),84977008827,8260470072,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"TỔ 13, ẤP VĨNH THUẬN, XÃ VĨNH NHUẬN, HUYỆN CHÂU THÀNH, TỈNH AN GIANG","10,37009311","105,2247716","Xã Vĩnh Hanh,Tỉnh An Giang",,,
54,198938,2AGCTTNHHHOAKHANH,CÔNG TY TNHH HÒA KHÁNH,339495489,1602219584,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"Ấp Tân Bình, Xã Cô Tô, Tỉnh An Giang, Việt Nam","10,43613605","105,1049191","Xã Cô Tô,Tỉnh An Giang",,,
55,161179,2AGCTVINHTHANHHUNG,CTY TNHH TM DỊCH VỤ VĨNH THÀNH HƯNG,918684301,1602037591,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"ẤP ĐÔNG BÌNH TRẠCH, XÃ VĨNH THÀNH, TỈNH AN GIANG","10,35713105","105,3737829","Xã An Châu,Tỉnh An Giang",,,
56,197345,2AGDAINGHIAAG,CÔNG TY TNHH VẬT TƯ NÔNG NGHIỆP ĐẠI NGHĨA AG,919566999,1602206867,Lê Phước Sang,T20 - SÔNG HẬU 2,"Số nhà 749, tổ 19, ấp Bình Trung, Xã Bình Mỹ, Tỉnh An Giang, Việt Nam","10,53307563","105,3021651","Xã Bình Mỹ,Tỉnh An Giang",,,
57,161603,2AGDANGKHOI,HỘ KINH DOANH VẬT TƯ NÔNG NGHIỆP ĐĂNG KHÔI,84978916638,8547251192-001,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"TỔ 5, ẤP VOI 1, XÃ NÚI VOI, HUYỆN TỊNH BIÊN, TỈNH AN GIANG","10,53898967","105,0494506","Phường Chi Lăng,Tỉnh An Giang",,,
58,146620,2AGDANGPHUOCSANG,ĐẶNG PHƯỚC SANG,84917888444,89082012421,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP LONG QUỚI 2, XÃ LONG ĐIỀN, TỈNH AN GIANG","10,51927759","105,4445351","Xã Long Điền,Tỉnh An Giang",,,
59,146621,2AGDANGVANNUOC,ĐẶNG VĂN NƯỚC,84977440908,89076021809,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"ẤP ĐÔNG THUẬN, PHƯỜNG THỚI SƠN, AN GIANG","10,61377651","105,0287494","Phường Thới Sơn,Tỉnh An Giang",,,
60,158732,2AGDATNGUYEN,HKD CỬA HÀNG VẬT TƯ NÔNG NGHIỆP ĐẠT NGUYÊN,84386076576,89193013975,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"TỔ 02, ẤP TÂN AN, XÃ NÚI CẤM, TỈNH AN GIANG","10,45579985","105,0716528","Xã Núi Cấm,Tỉnh An Giang",,,
61,197731,2AGDIEMTRINH,HỘ KINH DOANH VẬT TƯ NÔNG NGHIỆP LÊ THỊ DIỄM TRINH,386722386,91303003738,NGUYỄN TẤN THÀNH,T22 - SÔNG HẬU 4,"Ấp Mới, xã Vĩnh Điều, Tỉnh An Giang, Việt Nam.","10,5054426","104,7743266","Xã Vĩnh Điều,Tỉnh An Giang",,,
62,146622,2AGDIEUHIEN,DIỆU HIỀN,84974209500,89181001748,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"ẤP AN THẠNH, XÃ BA CHÚC, TỈNH AN GIANG","10,4993505","104,9259019","Xã Ba Chúc,Tỉnh An Giang",,,
63,146623,2AGDINHTHANHNAM,ĐINH THÀNH NAM,84939877187,89070007475,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP BÌNH PHÚ, XÃ HỘI AN, TỈNH AN GIANG","10,3785064","105,5168319","Xã Hội An,Tỉnh An Giang",,,
64,158985,2AGDONGTRANG,ĐÔNG TRANG,84909866681,8099030171,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"TỔ 3, ẤP LONG HƯNG, XÃ LONG GIANG, HUYỆN CHỢ MỚI, TỈNH AN GIANG","10,50159486","105,4469708","Xã Nhơn Mỹ,Tỉnh An Giang",,,
65,147604,2AGDOTHANHHAI,ĐỖ THANH HẢI,84907599727,1600990960,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"Ấp Long Thạnh II, Xã Long Giang, Huyện Chợ Mới, An Giang","10,49648976","105,4509718","Xã Nhơn Mỹ,Tỉnh An Giang",,,
66,198547,2AGDUCLINH,HỘ KINH DOANH ĐỨC LINH,375711013,91162000259,Dương Văn Pháp,T22 - SÔNG HẬU 4,"Số 780, tổ 10, Ấp Kinh 4, Xã Bình Giang, Tỉnh An Giang, Việt Nam.","10,22260527","104,8736717","Xã Bình Giang,Tỉnh An Giang",,,
67,147807,2AGDUCMINH,HỘ KINH DOANH ĐỨC - MĨNH,84376665873,89096017440,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ẤP PHÚ HÒA 1, XÃ BÌNH HÒA , HUYỆN CHÂU THÀNH, AN GIANG","10,46219196","105,3388438","Xã Bình Hòa,Tỉnh An Giang",,,
68,197914,2AGDUCNHO,CÔNG TY TNHH MỘT THÀNH VIÊN ĐỨC NHỚ,348101131,1602212853,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"Tổ 14, Ấp Phú Hưng, Xã Châu Phong, Tỉnh An Giang, Việt Nam","10,75369275","105,1877503","Xã Châu Phong,Tỉnh An Giang",,,
69,153718,2AGDUCPHONG,ĐỨC PHONG,84965454510,1601950833,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"Vĩnh Thạnh, Vĩnh Lộc, An Phú, An Giang","10,85402048","105,0999138","Xã Phú Hữu,Tỉnh An Giang",,,
70,161604,2AGDUCTAI,HỘ KINH DOANH ĐỨC TÀI,84919163277,89073001687,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"ẤP VĨNH THẠNH, XÃ CHÂU PHONG, TỈNH AN GIANG","10,73193928","105,16053","Xã Châu Phong,Tỉnh An Giang",,,
71,198789,2AGDUCTHANHAG,CÔNG TY TNHH ĐỨC THÀNH AG,977709803,1602219249,Lê Phước Sang,T20 - SÔNG HẬU 2,"Tổ 11, Ấp Bình Minh, Xã Bình Mỹ, Tỉnh An Giang, Việt Nam.","10,55546885","105,2641866","Xã Bình Mỹ,Tỉnh An Giang",,,
72,198215,2AGDUONGANPHAT,HỘ KINH DOANH DƯƠNG AN PHÁT,974307517,91186011267,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Tổ 2, Ấp Ninh Thạnh, Xã An Tức, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam.","10,37963486","104,9561386","Xã Ô Lâm,Tỉnh An Giang",,,
73,161800,2AGDUONGNGOCSON,DƯƠNG NGỌC SƠN,,1601270274,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ẤP HÒA HƯNG, XÃ HÒA BÌNH THẠNH, HUYỆN CHÂU THÀNH, TỈNH AN GIANG","10,42091484","105,3722604","Xã An Châu,Tỉnh An Giang",,,
74,146624,2AGDUONGTHINHAN,DƯƠNG THỊ NHAN,84776521999,89161003759,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"ẤP HÀ BAO 1, XÃ VĨNH HẬU, TỈNH AN GIANG","10,767158","105,1128503","Xã Vĩnh Hậu,Tỉnh An Giang",,,
75,146626,2AGDUONGVANHAI,DƯƠNG VĂN HẢI,84836079911,89063022613,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP ẤP ĐÔNG, XÃ CÙ LAO DUYÊN, TỈNH AN GIANG","10,4837532","105,5593692",Tỉnh An Giang,,,
76,146524,2AGDUONGVANNI,HỘ KINH DOANH VẬT TƯ NÔNG NGHIỆP DƯƠNG VĂN NI,84907020615,1601903223,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"ẤP PHÚ HÙNG, XÃ TÂY PHÚ, HUYỆN THOẠI SƠN, TỈNH AN GIANG","10,35196149","105,1330137","Xã Tây Phú,Tỉnh An Giang",,,
77,147476,2AGDUQUANG,DŨ QUANG,84946355168,1600297883,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ẤP VĨNH LỘC, XÃ VĨNH BÌNH, HUYỆN CHÂU THÀNH, AN GIANG","10,44033233","105,1701393","Xã Vĩnh An,Tỉnh An Giang",,,
78,158910,2AGDUYCUONG,HỘ KINH DOANH DUY CƯỜNG,84867121113,89097019617,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"TỔ 03, ẤP VĨNH HÒA A, XÃ CẦN ĐĂNG, HUYỆN CHÂU THÀNH, TỈNH AN GIANG","10,43631408","105,2962028","Xã Cần Đăng,Tỉnh An Giang",,,
79,198876,2AGDUYNGHI,DNTN VTNN DUY NGHI,979734434,1702331011,Nguyễn Văn Lâm,T22 - SÔNG HẬU 4,"252 tổ 2 ấp Sơn Thái , Xã Hòn Đất, Tỉnh An Giang, Việt Nam","10,21994679","104,9497894","Xã Hòn Đất,Tỉnh An Giang",,,
80,198307,2AGGARY,HỘ KINH DOANH GÀ RY,989929314,89086010504,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"Số 522, Tổ 19, Ấp Long Thạnh 1, Xã Long Giang, Huyện Chợ Mới, Tỉnh An Giang, Việt Nam","10,48669807","105,4482547","Xã Nhơn Mỹ,Tỉnh An Giang",,,
81,195477,2AGGIABAO,HỘ KINH DOANH GIA BẢO,329632988,8371366052-002,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Số 194, Tổ 8, ấp Vĩnh Hoà, Xã Lạc Quới, Huyện Tri Tôn, An Giang","10,50500059","104,8727829","Xã Ba Chúc,Tỉnh An Giang",,,
